run_id,seed,signals.entry_z,signals.exit_z,signals.hard_stop_z,gates.fdr_alpha,gates.time_stop_multiple,gates.hl_min_days,gates.hl_max_days,risk.max_active_spreads,Net Sharpe,Net APR,Gross Sharpe,Gross APR,Final Net P&L,Final Gross P&L,Total trades,Total costs (applied),Cost-skipped entries,Cost skip rate,exit_band,exit_time_stop,exit_hard_stop,exit_end_of_window,exit_other,seconds,overlay_yaml,fold
203,200203,2.2094,0.5114,5,0.0642,4.0,3,60,7,-0.8023008667017739,-0.015742569104494893,-0.7166659291759263,-0.014012929203363417,-31297.73,-27859.04,50,3438.6888510590065,0,0.0,14,11,18,7,0,6.05,/Users/davidaronson/Documents/MFE/Projects/Proj1_StatArb/stat-arb-v5/results/tmp/overlays/overlay_203.yaml,2024
219,200219,2.3548,0.4293,5,0.0973,4.0,3,60,6,-0.7574759545837819,-0.014536210206399525,-0.670650184267699,-0.012826354021083812,-28899.37,-25500.01,43,3399.3569398538616,0,0.0,9,9,18,7,0,5.46,/Users/davidaronson/Documents/MFE/Projects/Proj1_StatArb/stat-arb-v5/results/tmp/overlays/overlay_219.yaml,2024
222,200222,2.1477,0.6103,5,0.0794,4.0,3,60,7,-0.851873463651435,-0.016393549658933203,-0.7643100724197033,-0.014650558935104196,-32591.94,-29126.71,52,3465.2315580886225,0,0.0,15,11,18,8,0,5.6,/Users/davidaronson/Documents/MFE/Projects/Proj1_StatArb/stat-arb-v5/results/tmp/overlays/overlay_222.yaml,2024
226,200226,2.3659,0.2451,5,0.0811,4.0,3,60,7,-0.8721714648260017,-0.016970887236867214,-0.7909202063830881,-0.015298066292127627,-33739.74,-30414.01,48,3325.72735442275,0,0.0,10,11,20,7,0,5.69,/Users/davidaronson/Documents/MFE/Projects/Proj1_StatArb/stat-arb-v5/results/tmp/overlays/overlay_226.yaml,2024
240,200240,2.0097,0.6245,5,0.0645,4.0,3,60,7,-0.962187601340914,-0.019961887864876498,-0.8767474615240861,-0.018117136206175215,-39686.13,-36018.59,54,3667.5419881323096,0,0.0,19,10,18,7,0,5.75,/Users/davidaronson/Documents/MFE/Projects/Proj1_StatArb/stat-arb-v5/results/tmp/overlays/overlay_240.yaml,2024
