trade_id,when,action,spec_key,tickers,industry,dir,z_entry,mu,sd,hl_days,time_stop_days,notional,entry_when,entry_cost,commission,half_spread,slippage,total_cost,leg_shares,exit_reason,days_held,z_exit,s_z_entry,s_z_exit,crossed_zero,stop_dir_hit,gross_trade_pnl,net_trade_pnl,exit_cost,round_trip_cost
3,2025-01-14,ENTER,KDP|MNST,"['KDP', 'MNST']",ConsumerStaples_Beverages,1,-2.1345186016851536,12.359830077042629,0.04373712031215405,,0,174607.28404810722,2025-01-14,61.08619948706813,4.360790446241114,21.80395223120557,34.921456809621446,61.08619948706813,KDP:2231;MNST:2129,,,,,,,,,,,
1,2025-01-23,ENTER,BP|OXY,"['BP', 'OXY']",Energy,1,-2.4112433525675496,-0.23794132515065167,0.025519630616363996,,0,269353.25196099194,2025-01-23,97.9631827070771,7.348755385813116,36.74377692906558,53.87065039219839,97.9631827070771,BP:-4876;OXY:2472,,,,,,,,,,,
2,2025-02-04,ENTER,DUK|SO,"['DUK', 'SO']",Utilities,1,-2.604888189357722,-2.6523020476962182,0.016922112522508984,,0,445371.86324596073,2025-02-04,117.30740872393865,4.705506012457751,23.527530062288758,89.07437264919214,117.30740872393865,DUK:-2243;SO:2462,,,,,,,,,,,
1,2025-02-05,EXIT,BP|OXY,"['BP', 'OXY']",Energy,1,-2.4112433525675496,-0.23794132515065167,0.025519630616363996,5.855637799242182,24,269353.25196099194,2025-01-23,97.9631827070771,7.348755385813116,36.74377692906558,53.87065039219839,97.9631827070771,BP:-4876;OXY:2472,hard_stop,9.0,-5.070249263858911,-2.4112433525675496,-5.070249263858911,False,True,-8090.16943359375,-8286.095799007904,97.9631827070771,195.9263654141542
4,2025-02-18,ENTER,AEP|DUK|NEE|SO,"['AEP', 'DUK', 'NEE', 'SO']",Utilities,1,-4.494770345828415,0.7287149963148583,0.015348477186337446,,0,369578.7740373964,2025-02-18,97.1704189908214,3.8757773638903545,19.378886819451772,73.91575480747927,97.1704189908214,AEP:-678;DUK:1530;NEE:350;SO:-1315,,,,,,,,,,,
6,2025-02-18,ENTER,DUK|EXC|NEE|SO,"['DUK', 'EXC', 'NEE', 'SO']",Utilities,1,-3.945574395761903,0.630685113530431,0.011190766359205143,,0,574559.8827047617,2025-02-18,154.7312172964318,6.636540125913239,33.18270062956619,114.91197654095237,154.7312172964318,DUK:2190;EXC:-569;NEE:870;SO:-3006,,,,,,,,,,,
2,2025-02-18,EXIT,DUK|SO,"['DUK', 'SO']",Utilities,1,-2.604888189357722,-2.6523020476962182,0.016922112522508984,6.826114248211627,28,445371.86324596073,2025-02-04,117.30740872393865,4.705506012457751,23.527530062288758,89.07437264919214,117.30740872393865,DUK:-2243;SO:2462,band,9.0,0.1071370876847251,-2.604888189357722,0.1071370876847251,True,False,9334.56640625,9099.951588802123,117.30740872393865,234.6148174478773
5,2025-02-20,ENTER,AEP|DUK|SO,"['AEP', 'DUK', 'SO']",Utilities,1,-2.6254607824296863,0.7853918421404895,0.04424357351990606,,0,163694.97214332147,2025-02-20,42.25050812641062,1.5852522829577211,7.9262614147886055,32.7389944286643,42.25050812641062,AEP:-513;DUK:743;SO:-328,,,,,,,,,,,
3,2025-02-21,EXIT,KDP|MNST,"['KDP', 'MNST']",ConsumerStaples_Beverages,1,-2.1345186016851536,12.359830077042629,0.04373712031215405,7.509351875767704,31,174607.28404810722,2025-01-14,61.08619948706813,4.360790446241114,21.80395223120557,34.921456809621446,61.08619948706813,KDP:2231;MNST:2129,band,26.0,0.4484375569369466,-2.1345186016851536,0.4484375569369466,True,False,12501.09375,12378.921351025863,61.08619948706813,122.17239897413626
5,2025-03-12,EXIT,AEP|DUK|SO,"['AEP', 'DUK', 'SO']",Utilities,1,-2.6254607824296863,0.7853918421404895,0.04424357351990606,5.850650899791218,24,163694.97214332147,2025-02-20,42.25050812641062,1.5852522829577211,7.9262614147886055,32.7389944286643,42.25050812641062,AEP:-513;DUK:743;SO:-328,band,14.0,-0.2894869550850996,-2.6254607824296863,-0.2894869550850996,False,False,2965.400146484375,2880.899130231554,42.25050812641062,84.50101625282124
7,2025-03-13,ENTER,AAL|DAL|JBLU|LUV,"['AAL', 'DAL', 'JBLU', 'LUV']",Airlines,1,-2.9452759958351056,-1.3904669990643024,0.048029345676551774,,0,218567.2386686664,2025-03-13,102.77161051864529,10.71066870386171,53.55334351930855,38.507598295475034,102.77161051864529,AAL:-2336;DAL:1187;JBLU:4155;LUV:-3031,,,,,,,,,,,
