trade_id,entry_when,exit_when,tickers,industry,dir,leg_shares,z_entry,z_exit,s_z_entry,s_z_exit,crossed_zero,stop_dir_hit,mu,sd,hl_days,time_stop_days,days_held,exit_reason,notional,entry_cost,exit_cost,round_trip_cost,gross_trade_pnl,net_trade_pnl
1,2025-01-23,2025-02-05,"['BP', 'OXY']",Energy,1,BP:-4876;OXY:2472,-2.4112433525675496,-5.070249263858911,-2.4112433525675496,-5.070249263858911,False,True,-0.23794132515065167,0.025519630616363996,5.855637799242182,24,9.0,hard_stop,269353.25196099194,97.9631827070771,97.9631827070771,195.9263654141542,-8090.16943359375,-8286.095799007904
2,2025-02-04,2025-02-18,"['DUK', 'SO']",Utilities,1,DUK:-2243;SO:2462,-2.604888189357722,0.1071370876847251,-2.604888189357722,0.1071370876847251,True,False,-2.6523020476962182,0.016922112522508984,6.826114248211627,28,9.0,band,445371.86324596073,117.30740872393865,117.30740872393865,234.6148174478773,9334.56640625,9099.951588802123
3,2025-01-14,2025-02-21,"['KDP', 'MNST']",ConsumerStaples_Beverages,1,KDP:2231;MNST:2129,-2.1345186016851536,0.4484375569369466,-2.1345186016851536,0.4484375569369466,True,False,12.359830077042629,0.04373712031215405,7.509351875767704,31,26.0,band,174607.28404810722,61.08619948706813,61.08619948706813,122.17239897413626,12501.09375,12378.921351025863
5,2025-02-20,2025-03-12,"['AEP', 'DUK', 'SO']",Utilities,1,AEP:-513;DUK:743;SO:-328,-2.6254607824296863,-0.2894869550850996,-2.6254607824296863,-0.2894869550850996,False,False,0.7853918421404895,0.04424357351990606,5.850650899791218,24,14.0,band,163694.97214332147,42.25050812641062,42.25050812641062,84.50101625282124,2965.400146484375,2880.899130231554
6,2025-02-18,2025-03-13,"['DUK', 'EXC', 'NEE', 'SO']",Utilities,1,DUK:2190;EXC:-569;NEE:870;SO:-3006,-3.945574395761903,-1.2180624843177852,-3.945574395761903,-1.2180624843177852,False,False,0.630685113530431,0.011190766359205143,4.167131146968087,17,17.0,time_stop,574559.8827047617,154.7312172964318,154.7312172964318,309.4624345928636,8147.23828125,7837.775846657137
4,2025-02-18,2025-03-14,"['AEP', 'DUK', 'NEE', 'SO']",Utilities,1,AEP:-678;DUK:1530;NEE:350;SO:-1315,-4.494770345828415,-0.20256279439624003,-4.494770345828415,-0.20256279439624003,False,False,0.7287149963148583,0.015348477186337446,4.486506242589656,18,18.0,band,369578.7740373964,97.1704189908214,97.1704189908214,194.3408379816428,7764.91845703125,7570.577619049607
7,2025-03-13,2025-03-21,"['AAL', 'DAL', 'JBLU', 'LUV']",Airlines,1,AAL:-2336;DAL:1187;JBLU:4155;LUV:-3031,-2.9452759958351056,-5.070715130787215,-2.9452759958351056,-5.070715130787215,False,True,-1.3904669990643024,0.048029345676551774,6.611212585151382,27,6.0,hard_stop,218567.2386686664,102.77161051864529,102.77161051864529,205.54322103729058,-10089.173828125,-10294.717049162291
8,2025-03-17,2025-04-04,"['AAL', 'DAL', 'LUV']",Airlines,1,AAL:-1841;DAL:1314;LUV:-3178,-2.281093116675972,-0.35083710425485326,-2.281093116675972,-0.35083710425485326,False,False,-1.4944143812780193,0.05914032525503022,8.014383494407216,33,14.0,band,252507.22682365903,74.6249234871915,74.6249234871915,149.249846974383,10506.9931640625,10357.743317088118
9,2025-03-20,2025-04-04,"['AAL', 'JBLU', 'LUV', 'UAL']",Airlines,-1,AAL:-343;JBLU:1165;LUV:-1038;UAL:96,3.307299922680373,-1.394620726559577,-3.307299922680373,1.394620726559577,True,False,12.14610913358269,0.1940441248407824,5.802508894843105,24,11.0,band,52443.35528754374,26.347714187223488,26.347714187223488,52.695428374446976,5734.36474609375,5681.669317719303
11,2025-04-09,2025-05-05,"['BAC', 'C', 'GS', 'JPM']",Banks,1,BAC:-1251;C:500;GS:240;JPM:-607,-1.7832715568968742,-2.6393859782006523,-1.7832715568968742,-2.6393859782006523,False,False,-0.24237212426117738,0.01967986181211615,4.103452728503469,17,17.0,time_stop,342378.52065953484,84.07865949800279,84.07865949800279,168.15731899600559,-2482.5263671875,-2650.6836861835054
10,2025-04-14,2025-05-15,"['BAC', 'GS', 'JPM']",Banks,1,BAC:-1285;GS:289;JPM:-590,-2.614451271929079,-1.8547461574740467,-2.614451271929079,-1.8547461574740467,False,False,-0.1258145845756613,0.018974322332248064,5.3062912966474824,22,22.0,time_stop,328882.4368204556,78.76999084852588,78.76999084852588,157.53998169705176,2957.244140625,2799.7041589279484
